pays,annee,total,male,female,F 00-14,M 00-14,F 15-29,M 15-29,F 30-44,M 30-44,F 45-59,M 45-59,F 60+,M 60+,00-14,15-29,30-44,45-59,60+
Argentina,1970,23973058.0,12022050,11951008,3459370.0,3563361.0,2897563.0,2976363.0,2366315.0,2403768.0,1867886.0,1848337.0,1359874.0,1230221.0,7022731.0,5873926.0,4770083.0,3716223.0,2590095.0
Argentina,1971,24366439.0,12208274,12158165,3504642.0,3611052.0,2958453.0,3039981.0,2381900.0,2417748.0,1903526.0,1876482.0,1409644.0,1263011.0,7115694.0,5998434.0,4799648.0,3780008.0,2672655.0
Argentina,1972,24782949.0,12407347,12375602,3555969.0,3665605.0,3019490.0,3104779.0,2398652.0,2434109.0,1940612.0,1907837.0,1460879.0,1295017.0,7221574.0,6124269.0,4832761.0,3848449.0,2755896.0
Argentina,1973,25213388.0,12612316,12601072,3613121.0,3725459.0,3079273.0,3167870.0,2417461.0,2452871.0,1978162.0,1940658.0,1513055.0,1325458.0,7338580.0,6247143.0,4870332.0,3918820.0,2838513.0
Argentina,1974,25644506.0,12813363,12831143,3676111.0,3788700.0,3135868.0,3225217.0,2439363.0,2473981.0,2014621.0,1972405.0,1565180.0,1353060.0,7464811.0,6361085.0,4913344.0,3987026.0,2918240.0
Argentina,1975,26066975.0,13003766,13063209,3745429.0,3854310.0,3187605.0,3273881.0,2464918.0,2497322.0,2048701.0,2001175.0,1616556.0,1377078.0,7599739.0,6461486.0,4962240.0,4049876.0,2993634.0
Argentina,1976,26477152.0,13180498,13296654,3828756.0,3935410.0,3227681.0,3292715.0,2493292.0,2517467.0,2080250.0,2027223.0,1666675.0,1407683.0,7764166.0,6520396.0,5010759.0,4107473.0,3074358.0
Argentina,1977,26878565.0,13346696,13531869,3922585.0,4024940.0,3261527.0,3302113.0,2523889.0,2536753.0,2108918.0,2049232.0,1714950.0,1433658.0,7947525.0,6563640.0,5060642.0,4158150.0,3148608.0
Argentina,1978,27277741.0,13509265,13768476,4022855.0,4120269.0,3290358.0,3306284.0,2557577.0,2557033.0,2134963.0,2068438.0,1762723.0,1457241.0,8143124.0,6596642.0,5114610.0,4203401.0,3219964.0
Argentina,1979,27684534.0,13678251,14006283,4121652.0,4216378.0,3316760.0,3311687.0,2596053.0,2581153.0,2159397.0,2087136.0,1812421.0,1481897.0,8338030.0,6628447.0,5177206.0,4246533.0,3294318.0
